"calories","protein","chol","sodium","fibers","carb","sugars","potassium","vitamins","brand"
212.12121,12.1212121,3.030303,393.93939,30.30303,15.15152,18.181818,848.48485,"medium","C"
212.12121,12.1212121,3.030303,787.87879,27.272727,21.21212,15.151515,969.69697,"medium","B"
100,8,0,280,28,16,0,660,"medium","B"
146.66667,2.6666667,2.6666667,240,2,14,13.333333,93.33333,"medium","A"
110,2,0,125,1,11,14,30,"medium","B"
173.33333,4,2.6666667,280,2.666667,24,10.666667,133.33333,"medium","A"
134.32836,2.9850746,1.4925373,298.50746,5.970149,22.38806,8.955224,186.56716,"medium","D"
134.32836,4.4776119,0,313.43284,7.462687,19.40299,7.462687,283.58209,"medium","C"
160,1.3333333,2.6666667,293.33333,0,16,16,46.66667,"medium","D"
88,4.8,1.6,232,1.6,13.6,0.8,84,"medium","A"
160,1.3333333,4,280,0,17.33333,12,60,"medium","A"
220,6,4,280,4,26,14,210,"medium","A"
110,1,1,180,0,12,13,55,"medium","A"
110,2,0,280,0,22,3,25,"medium","D"
100,2,0,290,1,21,2,35,"medium","B"
110,1,0,90,1,13,12,20,"medium","B"
110,1,1,180,0,12,13,65,"medium","A"
220,6,6,280,8,20,14,320,"medium","B"
110,2,0,220,1,21,3,30,"medium","B"
133.33333,2.6666667,1.3333333,186.66667,2.666667,14.66667,13.333333,160,"medium","A"
133.33333,2.6666667,0,253.33333,1.333333,24,6.666667,106.66667,"medium","D"
110,2,1,125,1,11,13,30,"medium","B"
146.66667,1.3333333,0,266.66667,1.333333,18.66667,14.666667,33.33333,"medium","B"
125,3.75,0,0,3.75,17.5,8.75,125,"medium","B"
179.10448,4.4776119,2.9850746,238.80597,7.462687,17.91045,14.925373,298.50746,"medium","C"
179.10448,4.4776119,0,358.20896,7.462687,20.89552,17.910448,283.58209,"medium","B"
146.66667,1.3333333,1.3333333,180,0,17.33333,16,33.33333,"medium","C"
113.63636,2.2727273,0,51.13636,0,12.5,17.045455,45.45455,"medium","C"
146.66667,1.3333333,1.3333333,373.33333,0,20,12,60,"medium","A"
113.63636,3.4090909,1.1363636,159.09091,3.409091,17.04545,5.681818,96.59091,"medium","C"
440,12,0,680,12,68,12,360,"medium","C"
363.63636,9.0909091,9.0909091,227.27273,9.090909,39.39394,12.121212,303.0303,"medium","C"
120,1,2,220,1,12,11,45,"medium","D"
146.66667,4,1.3333333,333.33333,2,15.33333,13.333333,120,"medium","A"
82.70677,0.7518797,0,135.33835,0,10.52632,8.270677,26.31579,"medium","C"
186.66667,4,1.3333333,226.66667,2.666667,26.66667,12,126.66667,"high","B"
73.33333,1.3333333,0.6666667,173.33333,0,14,2,26.66667,"medium","A"
149.25373,5.9701493,2.9850746,223.8806,2.985075,17.91045,8.955224,141.79104,"medium","D"
110,2,1,180,0,12,12,55,"medium","A"
238.80597,4.4776119,2.9850746,223.8806,4.477612,25.37313,19.402985,238.80597,"medium","B"
100,2,1,220,2,15,6,90,"medium","A"
179.10448,2.9850746,1.4925373,283.58209,0,22.38806,13.432836,59.70149,"medium","B"
208.95522,4.4776119,2.9850746,328.35821,4.477612,31.34328,10.447761,194.02985,"medium","B"
260,6,4,340,3,27,20,240,"medium","A"
179.10448,4.4776119,1.4925373,298.50746,8.955224,16.41791,20.895522,388.0597,"medium","C"
100,3,0,320,1,20,3,45,"high","B"
50,1,0,0,0,13,0,15,"none","D"
200,8,2,270,4,28,12,220,"medium","D"
160,4,1.3333333,280,6.666667,18.66667,16,320,"medium","B"
200,6,4,280,5,21,16,280,"medium","A"
180,4,0,0,4,30,12,220,"medium","B"
97.34513,0.8849558,0,212.38938,0,20.35398,1.769912,26.54867,"medium","D"
110,2,0,290,0,22,3,35,"medium","B"
134.32836,4.4776119,0,0,5.970149,28.35821,0,208.95522,"none","C"
134.32836,4.4776119,0,0,4.477612,29.85075,0,179.10448,"none","C"
146.66667,2.6666667,1.3333333,93.33333,1.333333,12,20,53.33333,"medium","B"
110,6,0,230,1,16,3,55,"medium","B"
110,2,1,200,0,21,3,35,"high","A"
140,3,1,190,4,15,14,230,"high","A"
100,3,1,200,3,16,3,110,"high","A"
146.66667,2.6666667,1.3333333,333.33333,0,28,4,80,"medium","A"
110,1,1,140,0,13,12,25,"medium","A"
149.25373,4.4776119,1.4925373,343.28358,4.477612,25.37313,4.477612,171.64179,"medium","D"
100,3,1,200,3,17,3,110,"medium","A"
146.66667,2.6666667,1.3333333,266.66667,1.333333,21.33333,10.666667,80,"medium","A"
